,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,crossStreet,neighborhood,id
86,Leo,Pizza Place,123 Havemeyer St,40.712529,-73.9567,"[{'label': 'display', 'lat': 40.712529, 'lng': -73.9567}]",4776,11211,US,Brooklyn,NY,United States,"['123 Havemeyer St (Grand St)', 'Brooklyn, NY 11211', 'United States']",Grand St,,5db9b79a76758b0008c18821
87,Williamsburg Pizza,Pizza Place,265 Union Ave,40.70830261404054,-73.95069863113817,"[{'label': 'display', 'lat': 40.70830261404054, 'lng': -73.95069863113817}]",5301,11211,US,Brooklyn,NY,United States,"['265 Union Ave (South 3rd Street)', 'Brooklyn, NY 11211', 'United States']",South 3rd Street,,504d1468e4b086a8fac58d07
89,Garlic New York Pizza Bar,Pizza Place,629 2nd Ave,40.745068175947466,-73.97566605746329,"[{'label': 'display', 'lat': 40.745068175947466, 'lng': -73.97566605746329}]",4838,10016,US,New York,NY,United States,"['629 2nd Ave (btw 34 & 35 St)', 'New York, NY 10016', 'United States']",btw 34 & 35 St,,4e09201f14959022c8a0d119
90,Tony Boloney's,Pizza Place,263 1st St,40.73804607945211,-74.034323126639,"[{'label': 'display', 'lat': 40.73804607945211, 'lng': -74.034323126639}, {'label': 'entrance', 'lat': 40.737981, 'lng': -74.034277}]",3371,07030,US,Hoboken,NJ,United States,"['263 1st St (btwn Willow & Park)', 'Hoboken, NJ 07030', 'United States']",btwn Willow & Park,,531a77c311d2230ddeb0f2f7
91,Tony Boloney’s,Pizza Place,363 Grove St,40.721433000000005,-74.042858,"[{'label': 'display', 'lat': 40.721433000000005, 'lng': -74.042858}]",2693,07302,US,Jersey City,NJ,United States,"['363 Grove St', 'Jersey City, NJ 07302', 'United States']",,Harsimus,5cb7abc97d84970039833a96
92,Paulie Gee's Slice Shop,Pizza Place,110 Franklin St,40.728444159891396,-73.95734068765103,"[{'label': 'display', 'lat': 40.728444159891396, 'lng': -73.95734068765103}, {'label': 'entrance', 'lat': 40.728356, 'lng': -73.957217}]",5053,11222,US,Brooklyn,NY,United States,"['110 Franklin St (Noble)', 'Brooklyn, NY 11222', 'United States']",Noble,,57040eae498ef7367c74b057
93,Emporio,Pizza Place,231 Mott St,40.72263320366371,-73.99512464627406,"[{'label': 'display', 'lat': 40.72263320366371, 'lng': -73.99512464627406}, {'label': 'entrance', 'lat': 40.7226, 'lng': -73.995173}]",1919,10012,US,New York,NY,United States,"['231 Mott St (btwn Prince & Spring St)', 'New York, NY 10012', 'United States']",btwn Prince & Spring St,,49e4f405f964a52078631fe3
94,Rosa’s Pizza,Pizza Place,Metropolitan Ave.,40.71410035773901,-73.95557714586712,"[{'label': 'display', 'lat': 40.71410035773901, 'lng': -73.95557714586712}]",4875,11211,US,Brooklyn,NY,United States,"['Metropolitan Ave.', 'Brooklyn, NY 11211', 'United States']",,Williamsburg,5b5a75d5b8fd9d002ce46410
95,Gruppo,Pizza Place,98 Avenue B,40.724745101493895,-73.9814862620878,"[{'label': 'display', 'lat': 40.724745101493895, 'lng': -73.9814862620878}]",3022,10009,US,New York,NY,United States,"['98 Avenue B (btwn E 6th & 7th St)', 'New York, NY 10009', 'United States']",btwn E 6th & 7th St,,3fd66200f964a5203ce51ee3
96,Luigi's Pizza,Pizza Place,686 5th Ave,40.661565091511754,-73.99323483529255,"[{'label': 'display', 'lat': 40.661565091511754, 'lng': -73.99323483529255}, {'label': 'entrance', 'lat': 40.661611, 'lng': -73.993328}]",5894,11215,US,Brooklyn,NY,United States,"['686 5th Ave (btw 20th & 21st St)', 'Brooklyn, NY 11215', 'United States']",btw 20th & 21st St,,4a8b40c3f964a520f00b20e3
97,Giuseppina's,Pizza Place,691 6th Ave,40.660394,-73.990592,"[{'label': 'display', 'lat': 40.660394, 'lng': -73.990592}, {'label': 'entrance', 'lat': 40.660421, 'lng': -73.990624}]",6085,11215,US,Brooklyn,NY,United States,"['691 6th Ave (at 20th St.)', 'Brooklyn, NY 11215', 'United States']",at 20th St.,,4cacf63f76d3a0932b3b366b
98,&pizza,Pizza Place,15 W 28th St,40.74520457937066,-73.98823142051697,"[{'label': 'display', 'lat': 40.74520457937066, 'lng': -73.98823142051697}]",4232,10001,US,New York,NY,United States,"['15 W 28th St (Broadway)', 'New York, NY 10001', 'United States']",Broadway,,594076b2840fc235e72564c2
99,Napoli’s Pizzeria,Pizza Place,133 Clinton St,40.7394035324866,-74.03490912516594,"[{'label': 'display', 'lat': 40.7394035324866, 'lng': -74.03490912516594}]",3526,07030,US,Hoboken,NJ,United States,"['133 Clinton St', 'Hoboken, NJ 07030', 'United States']",,,59fd168ec21cb1401894e47e
88,Baker's Pizza,Pizza Place,201 Avenue A,40.729359365887,-73.9811407089682,"[{'label': 'display', 'lat': 40.729359365887, 'lng': -73.9811407089682}]",1977,10009,US,New York,NY,United States,"['201 Avenue A (13th Street)', 'New York, NY 10009', 'United States']",13th Street,Alphabet City,56ac14dd498ebc721660c58d
92,Roberta's Take Out & Bakery,Pizza Place,263 Moore St,40.704922,-73.934025,"[{'label': 'display', 'lat': 40.704922, 'lng': -73.934025}, {'label': 'entrance', 'lat': 40.705123, 'lng': -73.933691}]",5905,11206,US,Brooklyn,NY,United States,"['263 Moore St', 'Brooklyn, NY 11206', 'United States']",,,54eca15e498e3832a1bba6e6
94,Max Brenner,Dessert Shop,841 Broadway,40.73435390790306,-73.99087897342581,"[{'label': 'display', 'lat': 40.73435390790306, 'lng': -73.99087897342581}, {'label': 'entrance', 'lat': 40.73429, 'lng': -73.991027}]",1811,10003,US,New York,NY,United States,"['841 Broadway (btwn E 13th & E 14th St)', 'New York, NY 10003', 'United States']",btwn E 13th & E 14th St,,44c91345f964a520f3351fe3
95,Peasant,Pizza Place,194 Elizabeth St,40.72172197017359,-73.99445044122072,"[{'label': 'display', 'lat': 40.72172197017359, 'lng': -73.99445044122072}, {'label': 'entrance', 'lat': 40.721737, 'lng': -73.994442}]",591,10012,US,New York,NY,United States,"['194 Elizabeth St (btwn Prince & Spring St)', 'New York, NY 10012', 'United States']",btwn Prince & Spring St,,3fd66200f964a52023eb1ee3
98,Luigi's Pizzeria,Pizza Place,326 Dekalb Ave,40.689689,-73.965508,"[{'label': 'display', 'lat': 40.689689, 'lng': -73.965508}, {'label': 'entrance', 'lat': 40.689651, 'lng': -73.965407}]",4522,11205,US,Brooklyn,NY,United States,"['326 Dekalb Ave (St. James Pl.)', 'Brooklyn, NY 11205', 'United States']",St. James Pl.,,4b242d48f964a520ff6224e3
99,Graziella's,Pizza Place,232 Vanderbilt Ave,40.690500785798285,-73.96943770796737,"[{'label': 'display', 'lat': 40.690500785798285, 'lng': -73.96943770796737}, {'label': 'entrance', 'lat': 40.690474, 'lng': -73.969449}]",4238,11205,US,Brooklyn,NY,United States,"['232 Vanderbilt Ave (btwn Dekalb & Willoughby)', 'Brooklyn, NY 11205', 'United States']",btwn Dekalb & Willoughby,,437fbc80f964a520d62a1fe3
